mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
5065,5000,5599,Retail outlets,False,Electrical parts and equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,electrical_parts_and_equipment,,Electrical parts and equipment,Electrical Parts and Equipment,,Electrical Parts and Equipment,5065,Electrical Parts and Equipment,"Merchants classified with this MCC are business-to- business or wholesale distributors of electrical parts and communications equipment, such as electronic coils, capacitors, electronic condensers, diodes, semiconductor devices, public address equipment, and electric signs.","Communications Equipment Equipment – Electrical Parts, Equipment Parts – Electrical, Equipment Supplies – Electrical Parts, Equipment",MIXED RETAIL - BUILDING MATERIALS
5072,5000,5599,Retail outlets,False,Hardware equipment and supplies,Hardware Equipment and Supplies,"Hardware, Equipment, and Supplies",hardware_equipment_and_supplies,,Hardware equipment and supplies,Hardware Equipment and Supplies,,Hardware Equipment and Supplies,5072,"Hardware, Equipment and Supplies","Merchants classified with this MCC are business-to- business or wholesale distributors of general hardware and cutlery such as bolts, nuts, rivets, screws, fasteners, hand tools, locks, washers, tacks, staples, nails, hand saws, saw blades, and power hand tools.","Equipment – Hardware, Equipment, Supplies Hand Tools Supplies Hardware, Equipment, Supplies",MIXED RETAIL - BUILDING MATERIALS
5074,5000,5599,Retail outlets,False,Plumbing and heating equipment and supplies,Plumbing and Heating Equipment and Supplies,"Plumbing, Heating Equipment, and Supplies",plumbing_heating_equipment_and_supplies,,Plumbing and heating equipment and supplies,Plumbing and Heating Equipment,,Plumbing and Heating Equipment and Supplies,5074,Plumbing and Heating Equipment and Supplies,Merchants classified with this MCC are business-to- business or wholesale distributors of hydraulic plumbing and heating equipment and supplies. This MCC does not include wholesalers of commercial refrigeration equipment or supplies or appliances such as electric or gas ranges and commercial ovens.,"Equipment – Heating Equipment, Supplies Equipment – Plumbing Equipment, Supplies Equipment – Water Conditioning, Purification, Softening Heating Equipment, Supplies Supplies – Heating Equipment, Supplies Supplies – Plumbing Equipment, Supplies",MIXED RETAIL - BUILDING MATERIALS
5085,5000,5599,Retail outlets,False,Industrial supplies -- not elsewhere classified,"Industrial Supplies, Not Elsewhere Classified",Industrial Supplies (Not Elsewhere Classified),industrial_supplies,,Industrial supplies - not elsewhere classified,Industrial Supplies: not elsewhere classified,,Industrial Supplies - Not Elsewhere Classified,5085,Industrial Supplies (Not Elsewhere Classified),"Merchants classified with this MCC are business-to- business or wholesale distributors of industrial supplies that are not classified with a more specific MCC. Products for sale may include abrasives, bearings, boxes, cans, crates, cork, gaskets, grommets, hydraulic valves, hoses, pistons, sprockets, barrels, bottles (glass or plastic), industrial fittings, cordage, twine and rope, metals closures, printers’ ink, lapidary equipment, leather belting, mill supplies, pails, rubber goods, textile printers’ supplies, and steel drums.",Supplies – Industrial,MIXED RETAIL - BUILDING MATERIALS
5094,5000,5599,Retail outlets,False,"Precious stones and metals, watches and jewellery","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry",precious_stones_and_metals_watches_and_jewelry,,"Precious stones and metals, watches and jewellery","Precious Stones and Metals, Watches and Jewelry",,"Precious Stones and Metals, Watches, and Jewelry",5094,"Precious Stones and Metals, Watches and Jewelry","Merchants classified with this MCC are business-to- business or wholesale distributors of jewelry, precious stones and metals. This MCC also includes wholesalers of costume jewelry, watches and watch parts, clocks, silverware, diamonds and gemstones, precious metals, pearls, and trophies.","Gemstones, Precious Stones, Metals,
Watches, Jewelry Jewelry – Fine Watches",LUXERY GOODS
5099,5000,5599,Retail outlets,False,Durable goods -- not elsewhere classified,"Durable Goods, Not Elsewhere Classified",Durable Goods (Not Elsewhere Classified),durable_goods,,Durable goods - not elsewhere classified,Durable Goods: not elsewhere classified,,Durable Goods - Not Elsewhere Classified,5099,Durable Goods (Not Elsewhere Classified),Merchants classified with this MCC are business-to- business or wholesale distributors of durable goods that are not classified with a more specific MCC.,"Fire Extinguishers Firearms, Ammunition Gas Lighting Fixtures Goods – Durable Gravestones Luggage (Business to Business) Monuments Musical Instruments Rough Timber Products Signs",OTHER DURABLE GOODS
5111,5000,5599,Retail outlets,False,"Stationery, office supplies and printing and writing paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationary, Office Supplies, Printing and Writing Paper",stationary_office_supplies_printing_and_writing_paper,,"Stationery, office supplies and printing and writing paper","Stationery, Office Supplies, Printing and Writing Paper",,"Stationery, Office Supplies, Printing and Writing Paper",5111,"Stationery, Office Supplies, Printing and Writing Paper",Merchants classified with this MCC are business-to- business or wholesale distributors of stationery and office supplies and printing and writing paper.,"Business Supplies – Stationery, Office, Printing, Writing Supplies Office Supplies Paper – Writing, Printing, Stationery, Office Supplies Printing Supplies Supplies – Stationery, Office Supplies, Printing, and Writing Paper",PAPER GOODS
5122,5000,5599,Retail outlets,False,"Drugs, drug proprietors","Drugs, Drug Proprietors, and Druggist's Sundries","Drugs, Drug Proprietaries, and Druggist Sundries",drugs_drug_proprietaries_and_druggist_sundries,,"Drugs, drug proprietors","Drugs, Drug Proprietors, and Druggists Sundries",,"Drugs, Drug Proprietors, and Druggists' Sundries",5122,"Drugs, Drug Proprietaries, and Druggist Sundries","Merchants classified with this MCC are business-to- business or wholesale distributors of prescription drugs, proprietary drugs, druggists’ sundries, pharmaceuticals, and biological or related products.","Distributors – Drugs, Druggists’ Sundries, Pharmaceuticals Supplies – Drugs, Drug Proprietaries, Druggist Sundries,",MEDICINES AND HEALTH PRODUCTS
5131,5000,5599,Retail outlets,False,"Piece goods, notions and other dry goods","Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods",piece_goods_notions_and_other_dry_goods,,"Piece goods, notions and other dry goods","Piece Goods, Notions, and Other Dry Goods",,"Piece Goods, Notions, and Other Dry Goods",5131,"Piece Goods, Notions, and Other Dry Goods","Merchants classified with this MCC are business-to- business or wholesale distributors of piece goods, dry goods, and notions/haberdashery.","Fabric Goods Hair Accessories Notions Sewing Accessories Supplies – Millinery Textiles, Textile Binding",OTHER NON-DURABLE GOODS
5137,5000,5599,Retail outlets,False,"Men's, women's and children's uniforms and commercial clothing",Men's Women's and Children's Uniforms and Commercial Clothing,"Uniforms, Commercial Clothing",uniforms_commercial_clothing,,"Men's, women's and children's uniforms and commercial clothing","Men's, Women's, and Children's Uniforms and Commercial Clothing",,"Men's, Women's, and Children's Uniforms and Commercial Clothing",5137,"Men’s, Women’s, and Children’s Uniforms and Commercial Clothing","Merchants classified with this MCC are business-to- business or wholesale distributors of commercial work clothing and uniforms. This MCC includes wholesale distributors of graduation caps and gowns, athletic and recreational uniforms, and school uniforms, but not shoes.","Children’s Uniforms Commercial Clothing – Men’s, Women’s, Children’s Men’s Uniforms Professional Uniforms Uniforms – Men’s, Women’s, Children’s Women’s Uniforms",CLOTHING AND FOOTWEAR
5139,5000,5599,Retail outlets,False,Commercial footwear,Commercial Footwear,Commercial Footwear,commercial_footwear,,Commercial footwear,Commercial Footwear,,Commercial Footwear,5139,Commercial Footwear,Merchants classified with this MCC are business-to- business or wholesale distributors of commercial shoes and boots including athletic footwear.,"Footwear – Commercial Shoes, Shoe Accessories – Commercial",CLOTHING AND FOOTWEAR
5169,5000,5599,Retail outlets,False,Chemicals and allied products -- not elsewhere classified,"Chemicals and Allied Products, Not Elsewhere Classified",Chemicals and Allied Products (Not Elsewhere Classified),chemicals_and_allied_products,,Chemicals and allied products - not elsewhere classified,Chemicals and Allied Products: not elsewhere classified,,Chemicals and Allied Products - Not Elsewhere Classified,5169,Chemicals and Allied Products (Not Elsewhere Classified),"Merchants classified with this MCC are business-to- business or wholesale distributors of chemicals and allied products that are not classified with a more specific MCC. Products for sale are typically used for industrial purposes. Examples include industrial acids, ammonia and alcohol, heavy, aromatic and other chemicals, chlorine, compressed and liquefied gases, detergents, fuel and oil additives, resins, salts, turpentine, sealants, rust proofing chemicals, coal tar products, dry ice, dyestuffs, glue, gelatin, and explosives","Detergents Supplies – Chemicals, Allied Products",OTHER NON-DURABLE GOODS
5172,5000,5599,Retail outlets,False,Petroleum and petroleum products,Petroleum and Petroleum Products,Petroleum and Petroleum Products,petroleum_and_petroleum_products,,,Petroleum and Petroleum Products,,Petroleum and Petroleum Products,5172,Petroleum and Petroleum Products,"Merchants classified with this MCC are business-to- business or wholesale distributors of petroleum and petroleum products, butane gas, crude oil, fuel oil, gasoline, kerosene, lubricating oils and greases, aircraft fueling services, and naphtha.","Fuel Products, Services Services – Fueling",UTILITIES - LIQUID FUELS
5192,5000,5599,Retail outlets,False,"Books, periodicals and newspapers",,"Books, Periodicals, and Newspapers",books_periodicals_and_newspapers,,"Books, periodicals and newspapers","Books, Periodicals, and Newspapers",,"Books, Periodicals, and Newspapers",5192,"Books, Periodicals and Newspapers","Merchants classified with this MCC are business-to- business or wholesale distributors of books, periodicals, magazines, journals, and newspapers, including newspaper agencies.","Journals Magazines Newspapers, Newspaper Agencies Periodicals",PAPER GOODS
5193,5000,5599,Retail outlets,False,"Florists' supplies, nursery stock and flowers","Florists' Supplies, Nursery Stock and Flowers","Florists Supplies, Nursery Stock, and Flowers",florists_supplies_nursery_stock_and_flowers,,"Florists' supplies, nursery stock and flowers","Florists Supplies, Nursery Stock, and Flowers",,"Florists' Supplies, Nursery Stock, and Flowers",5193,"Florists Supplies, Nursery Stock and Flowers","Merchants classified with this MCC are business-to- business or wholesale distributors of flowers, nursery stock and florists’ supplies, fresh and artificial flowers, and potted plants.","Gardening Supplies Nursery Stock Plants Supplies – Florist Supplies, Nursery Stock, Flowers",GARDEN PRODUCTS AND PETS
5198,5000,5599,Retail outlets,False,"Paints, varnishes and supplies","Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies",paints_varnishes_and_supplies,,"Paints, varnishes and supplies","Paints, Varnishes, and Supplies",,"Paints, Varnishes, and Supplies",5198,"Paints, Varnishes and Supplies","Merchants classified with this MCC are business-to- business or wholesale distributors of paints, varnishes, wallpaper, and supplies, including colors and pigments, enamels, lacquers, paint brushes, paint pans, sandpaper, drop cloths, shellac, rollers, and sprayers.","Supplies – Paints, Varnishes, Supplies Varnishes, Paints, Supplies","SECURITY EQUIPMENT AND MATERIALS FOR THE MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
5199,5000,5599,Retail outlets,False,Non-durable goods -- not elsewhere classified,"Non-durable Goods, Not Elsewhere Classified",Nondurable Goods (Not Elsewhere Classified),nondurable_goods,,Non-durable goods - not elsewhere classified,Nondurable Goods: not elsewhere classified,,Non-Durable Goods - Not Elsewhere Classified,5199,Nondurable Goods (Not Elsewhere Classified),"Merchants classified with this MCC are business-to- business or wholesale distributors of nondurable goods that are not classified with a more specific MCC, such as food products, art goods, clothes hangers, foam rubber, ice, crude rubber, sponges, textile bags, burlap, canvas products, leather, and baskets.",Goods – Nondurable,OTHER NON-DURABLE GOODS
5200,5000,5599,Retail outlets,False,Home supply warehouse outlets,Home Supply Warehouse Stores,Home Supply Warehouse Stores,home_supply_warehouse_stores,,Home supply warehouse outlets,Home Supply Warehouse Stores,,Home Supply Warehouse Stores,5200,Home Supply Warehouse Stores,"Merchants classified with this MCC sell of a wide range of home products such as wallpaper, paint, lumber, garden supplies, electrical equipment and supplies and home decorating items, as well as sinks, cabinets and doors.",Warehouse Stores – Home Supply,MIXED RETAIL - BUILDING MATERIALS
5211,5000,5599,Retail outlets,False,Lumber and building materials outlets,Lumber and Building Materials Stores,"Lumber, Building Materials Stores",lumber_building_materials_stores,,Lumber and building materials outlets,"Building Materials, Lumber Stores",,Lumber and Building Materials Stores,5211,Lumber and Building Materials Stores,"Merchants classified with this MCC sell of one or more of the following products: lumber, unfinished wood products, lighting materials, concrete, sand, gravel, general building or electrical supplies, bricks, fencing, pipe, fiberglass, or molding. This MCC includes building centers that offer their products to contractors rather than to the general public and does not include home supply store chains that are frequented by the general public.","Building Materials Construction Materials Materials – Lumber,
Building Roofing Materials Supplies – Lumber, Building Materials",MIXED RETAIL - BUILDING MATERIALS
5231,5000,5599,Retail outlets,False,"Glass, paint and wallpaper shops",Glass Stores,"Glass, Paint, and Wallpaper Stores",glass_paint_and_wallpaper_stores,,"Glass, paint and wallpaper shops","Glass, Paint, Wallpaper Stores",,"Glass, Paint, and Wallpaper Stores",5231,"Glass, Paint, and Wallpaper Stores","Merchants classified with this MCC sell glass, paint and painting supplies, wallpaper and hanging supplies, and other wall covering materials.","Paint, Painting Supplies Supplies – Glass Supplies – Paint, Painting Supplies Supplies – Wallpaper, Supplies Wallpaper, Wallcovering Supplies Store","SECURITY EQUIPMENT AND MATERIALS FOR THE MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
5251,5000,5599,Retail outlets,False,Hardware shops,Hardware Stores,Hardware Stores,hardware_stores,,Hardware shops,Hardware Stores,,Hardware Stores,5251,Hardware Stores,Merchants classified with this MCC sell a full range of hardware supplies for purchase by the general public.,"Electrical Supplies Hand Tools Lighting Fixtures, Supplies Plumbing Supplies Power Tools Supplies – Hardware Stores Tools",MIXED RETAIL - BUILDING MATERIALS
5261,5000,5599,Retail outlets,False,"Lawn and garden supply outlets, including nurseries",Nurseries - Lawn and Garden Supply Store,"Nurseries, Lawn and Garden Supply Stores",nurseries_lawn_and_garden_supply_stores,,"Lawn and garden supplies outlets, including nurseries",Lawn and Garden Supply Stores,,"Lawn and Garden Supply Stores, including Nurseries",5261,Nurseries and Lawn and Garden Supply Stores,"Merchants classified with this MCC sell nursery stock, trees, shrubs, other plants, seeds, bulbs, mulches, soil conditioners, fertilizers, pesticides, garden tools, and other garden supplies.","Gardening Supplies Greenhouses Lawn, Garden Supply Plant Shops Supplies – Nurseries, Lawn, Garden Supply Stores",GARDEN PRODUCTS AND PETS
5262,5000,5599,Retail outlets,False,,,,,,,,,,5262,Marketplaces,,,MIXED RETAIL - PERSONAL USE
5271,5000,5599,Retail outlets,False,Mobile home dealers,Mobile Home Dealers,Mobile Home Dealers,mobile_home_dealers,,Mobile home dealers,Mobile Home Dealers,,Mobile Home Dealers,5271,Mobile Home Dealers,"Merchants classified with this MCC sell new and used mobile homes and related parts, accessories, and equipment.","Dealers – Mobile Home, Parts, Equipment Equipment – Mobile Home Parts",CULTURAL AND RECREATIONAL DURABLES
5300,5000,5599,Retail outlets,False,Wholesale clubs,Wholesale Clubs,Wholesale Clubs,wholesale_clubs,,Wholesale clubs,Wholesale Clubs,,Wholesale Clubs,5300,Wholesale Clubs,Merchants classified with this MCC sell a full range of goods (often in bulk) and services in warehouse-style stores. These Merchants may or may not have membership requirements.,Club Stores – Wholesale Clubs Discount Goods – Wholesale Clubs Warehouse Retail – Wholesale Clubs,MIXED RETAIL - PERSONAL USE
5309,5000,5599,Retail outlets,False,Duty-free shops,Duty Free Store,Duty Free Stores,duty_free_stores,,Duty-free shops,Duty Free Stores,,Duty Free Stores,5309,Duty Free Stores,"Merchants classified with this MCC sell a variety of gift and import items that are typically exempt from customs fees, such as liquor, perfume, and jewelry.",,MIXED RETAIL - PERSONAL USE
5310,5000,5599,Retail outlets,False,Discount shops,Discount Stores,Discount Stores,discount_stores,,Discount shops,Discount Stores,,Discount Stores,5310,Discount Stores,Merchants classified with this MCC sell a general line of merchandise and offer it at a discounted rate.,,MIXED RETAIL - PERSONAL USE
5311,5000,5599,Retail outlets,False,Department stores,Department Stores,Department Stores,department_stores,,Department stores,Department Stores,,Department Stores,5311,Department Stores,"Merchants classified with this MCC sell a general line of apparel, home furnishings, furniture, electronics, cosmetics, housewares, and major household appliances. These stores have departments that usually have their own separate check-out counters.",,MIXED RETAIL - PERSONAL USE
5331,5000,5599,Retail outlets,False,Variety stores,Variety Stores,Variety Stores,variety_stores,,Variety stores,Variety Stores,,Variety Stores,5331,Variety Stores,"Merchants classified with this MCC sell a limited selection of various products in a lower price range. Generally, these Merchants sell the same type of merchandise and operate in the same manner as a discount store, but on a much smaller scale.",,MIXED RETAIL - PERSONAL USE
5399,5000,5599,Retail outlets,False,Miscellaneous general merchandise,Misc. General Merchandise,Miscellaneous General Merchandise,miscellaneous_general_merchandise,,Miscellaneous general merchandise,Miscellaneous General Merchandise Stores,,Miscellaneous General Merchandise,5399,Miscellaneous General Merchandise,"Merchants classified with this MCC sell a general line of merchandise. Generally, these Merchants sell the same type of merchandise and operate in the same manner as a department store, but on a much smaller scale.",General Merchandise – Miscellaneous,MIXED RETAIL - PERSONAL USE
5411,5000,5599,Retail outlets,False,Groceries and supermarkets,Grocery Stores,"Grocery Stores, Supermarkets",grocery_stores_supermarkets,,Groceries and supermarkets,"Grocery Stores, Supermarkets",,Grocery Stores and Supermarkets,5411,Grocery Stores and Supermarkets,"Merchants classified with this MCC sell a complete, full line of food merchandise for home consumption. Most of the food merchandise is perishable, and perishables* must represent at least 45% of Merchant’s total monthly sales volume, measured in local currency. In addition, they also sell canned, frozen, prepackaged, and dry foods, a limited selection of housewares, cleaning and polishing products, personal hygiene products, cosmetics, greeting cards, books, magazines, household items, and dry goods. These Merchants may also operate specialized departments such as an in-store deli counter, meat counter, pharmacy, or floral department. * Perishable goods include the following: • Bakery – in store (service) • Bread and baked goods – fresh • Dairy – butter, margarine, cottage cheese, sour cream, toppings, dough products, eggs, juices/drinks (refrigerated), milk, pudding, desserts, snacks, spreads, dips, and yogurt • Deli – in store (service) • Deli – refrigerated (self service) • Frozen foods – baked goods, breakfast foods, desserts, fruits, toppings, frozen novelties, ice, ice cream, juices, drinks, meal starters, pizza, snacks, hors d’oeuvres, prepared foods, unprepared meat, poultry, seafood, vegetables • Meat, fish, poultry – fresh • Packaged meat – deli • Fresh produce • Floral","Food Stores – Grocery Stores, Supermarkets Supermarkets",GROCERIES
5422,5000,5599,Retail outlets,False,Freezer and locker meat provisioners,Freezer and Locker Meat Provisioners,Freezer and Locker Meat Provisioners,freezer_and_locker_meat_provisioners,,Freezer and locker meat provisioners,"Freezer, Locker Meat Provisioners",,Freezer and Locker Meat Provisioners,5422,Freezer and Locker Meat Provisioners,"Merchants classified with this MCC sell fresh, frozen, or cured meats, fish, shellfish, and other seafoods. This MCC also includes bulk retail sellers of meat for freezer storage and home freezer plans.","Butcher Shops Fish, Seafood Markets Frozen Meats, Seafood Meat Markets, Meat Lockers Seafood Markets",GROCERIES
5441,5000,5599,Retail outlets,False,"Candy, nut and confectionery shops",Candy Stores,"Candy, Nut, and Confectionery Stores",candy_nut_and_confectionery_stores,,"Candy, nut and confectionery shops","Candy, Nut, Confectionery Stores",,"Candy, Nut, and Confectionery Stores",5441,"Candy, Nut, and Confectionery Stores","Merchants classified with this MCC are retail sellers of candy, chocolate, nuts, dried fruits, popcorn and other confections.",Chocolate Shops Confectionery Shops Dried Fruit Shops Nut Shops Popcorn Stands,GROCERIES
5451,5000,5599,Retail outlets,False,Dairies,Dairy Products Stores,Dairy Products Stores,dairy_products_stores,,Dairies,Dairy Products Stores,,Dairy Products Stores,5451,Dairy Products Stores,"Merchants classified with this MCC sell packaged butter, cheese, ice cream, milk, and other dairy products.",Cheese Shops,GROCERIES
5462,5000,5599,Retail outlets,False,Bakeries,Bakeries,Bakeries,bakeries,,Bakeries,Bakeries,,Bakeries,5462,Bakeries,Merchants classified with this MCC sell (and may make) bakery goods.,Bagel Shops Cake Shops Cookie Stores Doughnut Shops Pastry Shops Pie Shops Wedding Cakes,GROCERIES
5499,5000,5599,Retail outlets,False,Miscellaneous food shops -- convenience and speciality retail outlets,Misc. Food Stores - Convenience Stores and Specialty Markets,Miscellaneous Food Stores - Convenience Stores and Specialty Markets,miscellaneous_food_stores,,Miscellaneous food shops - convenience and speciality retail outlets,"Miscellaneous Food Stores: Convenience Stores, Markets, Specialty Stores",,Miscellaneous Food Stores - Convenience Stores and Specialty Markets,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,Merchants classified with this MCC sell specialty foods not classified with a more specific MCC.,"Convenience Stores Delicatessens Food Stores – Convenience Fruit Markets Gourmet Food Stores Health Food Stores Mini Markets
Poultry Shops Produce Markets Specialty Food Markets Vegetable Markets Vitamin Stores Meal Preparation Kits",GROCERIES
5511,5000,5599,Retail outlets,False,"Car and truck dealers (new and used) sales, services, repairs, parts and leasing","Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing",car_and_truck_dealers_new_used,,"Car and truck dealers (new and used) sales, services, repairs, parts and leasing","Automobile and Truck Dealers: Sales, Service, Repairs, Parts, and Leasing",,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Merchants classified with this MCC sell and/or lease new and used automobiles, trucks, pickups, and vans and may also conduct repair work and sell replacement parts and accessories.","Automobile/Truck Dealers (New/Used) Sales, Service, Repairs, Parts, Leasing Car Dealers (New/Used) Dealers – Automobile/ Truck (New/Used), Sales, Service, Repairs, Parts, Leasing Leasing – Automobile, Truck Motor Vehicle Dealers (New/Used) Repairs – Automobile/ Truck Dealers (New/ Used) Sales, Service, Repairs, Parts, Leasing Truck Dealers (New/Used)",PURCHASE OF VEHICLES
5521,5000,5599,Retail outlets,False,"Car and truck dealers (used only) sales, service, repairs, parts and leasing",Automobile and Truck Dealers (Used Only),"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing",car_and_truck_dealers_used_only,,"Car and truck dealers (used only) sales, service, repairs, parts and leasing",Automobile and Truck Dealers: (Used Only): Sales,,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing",5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing","Merchants classified with this MCC sell and/or lease only used automobiles, trucks, pickups and vans and may also conduct repair work and sell replacement parts and accessories.",Antique Automobiles Automobiles/Trucks (Used Only) Car Dealers (Used Only) Dealers – Antique Automobiles Dealers – Automobile/ Truck (Used Only),PURCHASE OF VEHICLES
5531,5000,5599,Retail outlets,False,Auto and home supply outlets,Automobile Supply Stores,Auto and Home Supply Stores,auto_and_home_supply_stores,,Auto and home supply outlets,"Auto Store, Home Supply Stores",,Auto and Home Supply Stores,,,,,PARTS AND ACCESSORIES FOR PERSONAL TRANSPORT EQUIPMENT
5532,5000,5599,Retail outlets,False,Automotive tyre outlets,Automotive Tire Stores,Automotive Tire Stores,automotive_tire_stores,,Automotive tyre outlets,Automotive Tire Stores,,Automotive Tire Stores,5532,Automotive Tire Stores,Merchants classified with this MCC sell automotive and truck tires and related parts and may also conduct tire installation and repair services.,"Car Tires – New Only
Repairs – Automotive Tire Stores Services – Repairs/ Automotive Tire Stores Tire Stores",PARTS AND ACCESSORIES FOR PERSONAL TRANSPORT EQUIPMENT
5533,5000,5599,Retail outlets,False,Automotive parts and accessories outlets,"Automotive Parts, Accessories Stores",Automotive Parts and Accessories Stores,automotive_parts_and_accessories_stores,,Automotive parts and accessories outlets,"Automotive Parts, Accessories Stores",,Auto Parts and Accessories Stores,5533,Automotive Parts and Accessories Stores,"Merchants classified with this MCC sell automobile parts, equipment, and accessories, including electric vehicle charging equipment designed for personal use.","Accessories – Automotive Automobile – Parts, Accessories Stores Car Parts, Accessories Stores Motor Vehicle Supplies, Parts Parts, Automotive Supplies – Automotive Parts, Accessories Stores",PARTS AND ACCESSORIES FOR PERSONAL TRANSPORT EQUIPMENT
5541,5000,5599,Retail outlets,False,Service stations (with or without ancillary services),Service Stations ( with or without ancillary services),Service Stations,service_stations,,Service stations (with or without ancillary services),Service Stations (with or without Ancillary Services),,Service Stations (with or without Ancillary Services),5541,Service Stations (With or without Ancillary Services),"Merchants classified with this MCC are retail sellers of engine fuel These Merchants may or may not also have a convenience store, car wash, or automotive repair shop on the premises, but must sell fuel for consumer use. Excluded from this category code are Automated Fuel Dispensers, MCC 5542",Filling Stations – Automotive Gasoline Gas Stations (With or Without Ancillary Services) Gasoline – Service Stations Marina Service Stations Petrol – Service Stations Truck Stops – Gasoline Service,FUELS AND LUBRICANTS FOR PERSONAL TRANSPORT EQUIPMENT
5542,5000,5599,Retail outlets,False,Automated fuel dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers,automated_fuel_dispensers,,Automated fuel dispensers,"Fuel Dispenser, Automated",,Automated Fuel Dispensers,5542,Automated Fuel Dispensers,Merchants classified with this MCC are retail sellers of engine fuel through the use of an Automated Fuel Dispenser (AFD).,Cardholder-Activated Fuel Dispensers Fuel Dispensers – Automated Gas Pumps (Automated Fuel Dispensers) Fuel – Self-Service Terminals Petrol Dispensers – Automated Petrol – Self- Service Terminals Self-Service Terminals – Fuel Self-Service Terminals – Petrol,FUELS AND LUBRICANTS FOR PERSONAL TRANSPORT EQUIPMENT
5551,5000,5599,Retail outlets,False,Boat dealers,Boat Dealers,Boat Dealers,boat_dealers,,Boat dealers,Boat Dealers,,Boat Dealers,5551,Boat Dealers,"Merchants classified with this MCC sell new and used motorboats, sailboats, and other watercraft, marine supplies, and outboard motors.",Dealers – Boat Motorboat Dealers Outboard Motor Dealers Powerboat Dealers Sailboat Dealers,CULTURAL AND RECREATIONAL DURABLES
5552,5000,5599,Retail outlets,False,,,,,,,Electric Vehicle Charging,,Electric Vehicle Charging,5552,Electric Vehicle Charging,Merchants classified with this MCC sell electricity for the purpose of fueling an automobile,,FUELS AND LUBRICANTS FOR PERSONAL TRANSPORT EQUIPMENT
5561,5000,5599,Retail outlets,False,"Camper, recreational and utility trailer dealers","Recreational and Utility Trailers, Camp Dealers","Motorcycle Shops, Dealers",motorcycle_shops_dealers,,"Camper, recreational and utility trailer dealers","Camper Dealers, Recreational and Utility Trailers",,"Camper, Recreational, and Utility Trailer Dealers",5561,"Camper, Recreational and Utility Trailer Dealers","Merchants classified with this MCC sell new and used campers, recreational and utility trailers, and related parts and accessories.","Accessories – Recreational Vehicles Camper Dealers Dealers – Recreational, Utility Trailers, Camper Dealers Parts, Recreational Vehicles RV, Camper Dealers Recreational Vehicle Dealers, Parts, Accessories Trailers – Utility Utility Trailers",CULTURAL AND RECREATIONAL DURABLES
5571,5000,5599,Retail outlets,False,Motorcycle shops and dealers,Motorcycle Dealers,Motorcycle Shops and Dealers,motorcycle_shops_and_dealers,,Motorcycle shops and dealers,Motorcycle Shops and Dealers,,Motorcycle Shops and Dealers,5571,Motorcycle Shops and Dealers,"Merchants classified with this MCC sell new and used motorcycles, motor scooters, mopeds and related parts, equipment, clothing, and accessories.","Dealers – Motorcycle, Moped, Motor Scooters Moped Dealers, Parts, Accessories Motor Scooter Dealers, Parts, Accessories Supplies – Motorcycle Parts, Accessories",PURCHASE OF VEHICLES
5592,5000,5599,Retail outlets,False,Motor home dealers,Motor Home Dealers,Motor Homes Dealers,motor_homes_dealers,,Motor home dealers,Motor Home Dealers,,Motor Home Dealers,5592,Motor Homes Dealers,Merchants classified with this MCC sell new and used motor homes and related parts and accessories.,Dealers – Motor Homes,CULTURAL AND RECREATIONAL DURABLES
5598,5000,5599,Retail outlets,False,Snowmobile dealers,Snowmobile Dealers,Snowmobile Dealers,snowmobile_dealers,,Snowmobile dealers,Snowmobile Dealers,,Snowmobile Dealers,5598,Snowmobile Dealers,Merchants classified with this MCC sell new and used snowmobiles and related parts and accessories.,Dealers – Snowmobiles,CULTURAL AND RECREATIONAL DURABLES
