MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
5552,Electric Vehicle Charging,Merchants classified with this MCC sell electricity for the purpose of fueling an automobile,,"5541 – Service Stations (With or Without Ancillary Services 5542 – Automated Fuel Dispensers 7523 – Parking Lots, Parking Meters and Garages"
5561,"Camper, Recreational and Utility Trailer Dealers","Merchants classified with this MCC sell new and used campers, recreational and utility trailers, and related parts and accessories.","Accessories – Recreational Vehicles Camper Dealers Dealers – Recreational, Utility Trailers, Camper Dealers Parts, Recreational Vehicles RV, Camper Dealers Recreational Vehicle Dealers, Parts, Accessories Trailers – Utility Utility Trailers","5571 – Motorcycle Shops and Dealers 5592 – Motor Home Dealers 5598 – Snowmobile Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)"
5571,Motorcycle Shops and Dealers,"Merchants classified with this MCC sell new and used motorcycles, motor scooters, mopeds and related parts, equipment, clothing, and accessories.","Dealers – Motorcycle, Moped, Motor Scooters Moped Dealers, Parts, Accessories Motor Scooter Dealers, Parts, Accessories Supplies – Motorcycle Parts, Accessories","5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)"
5592,Motor Homes Dealers,Merchants classified with this MCC sell new and used motor homes and related parts and accessories.,Dealers – Motor Homes,"5271 – Mobile Home Dealers 5561 – Camper, Recreational and Utility Trailer Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)"
5598,Snowmobile Dealers,Merchants classified with this MCC sell new and used snowmobiles and related parts and accessories.,Dealers – Snowmobiles,"5561 – Camper, Recreational and Utility Trailer Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)"
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)","Merchants classified with this MCC sell new and used aircraft and/or automotive, farm, and recreational vehicles, parts, equipment and supplies not classified with a more specific MCC.","Airplane, Aircraft Dealers All-Terrain Vehicle Dealers Automotive Dealers – Miscellaneous Dealers – Airplane, Aircraft Dealers – Golf Carts Dealers – Miscellaneous Automotive Dealers Plane Dealers – Aircraft","5511 – Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing 5521 – Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing 5551 – Boat Dealers 5561 – Camper, Recreational and Utility Trailer Dealers 5571 – Motorcycle Shops and Dealers 5592 – Motor Home Dealers 5598 – Snowmobile Dealers"
5611,Men’s and Boys’ Clothing and Accessories Stores,Merchants classified with this MCC sell men’s and boys’ ready-to-wear clothing and accessories.,"Accessories – Men’s, Boys’ Clothing Apparel – Men’s, Boys’ Clothing Boys’ Clothing, Accessories Clothing – Men’s, Boys’ Clothing, Accessory Stores Hat Shops – Men’s Necktie Stores Tie Shops – Men’s Clothing",5651 – Family Clothing Stores 5691 – Men’s and Women’s Clothing Stores
5621,Women’s Ready-To-Wear Stores ..,Merchants classified with this MCC sell a general line of women’s ready-to-wear and special-event clothing.,Apparel – Women’s Ready- To-Wear Stores Bridal Shops Clothing – Women’s Ready-To-Wear Stores Coat Stores – Women’s Dress Shops Maternity Stores Outerwear Stores – Women’s,5631 – Women’s Accessory and Specialty Shops 5651 – Family Clothing Stores 5655 – Sports and Riding Apparel Stores 5681 – Furriers and Fur Shops 5691 – Men’s and Women’s Clothing Stores 5699 – Miscellaneous Apparel and Accessory Shops
5631,Women’s Accessory and Specialty Shops,"Merchants classified with this MCC sell women’s clothing accessories, including handbags, hats, costume jewelry, scarves, belts, hair accessories, lingerie, and hosiery.","Accessories – Women’s Accessory, Specialty Shops Apparel – Women’s Accessory, Specialty Shops Clothing – Women’s Accessory, Specialty Shops Costume Jewelry Shops Handbag Stores Hat Shops – Women’s Jewelry – Costume Lingerie Stores",5621 – Women’s Ready-To-Wear Stores 5699 – Miscellaneous Apparel and Accessory Shops
5641,Children’s and Infants’ Wear Stores,Merchants classified with this MCC sell children’s and infants’ clothing and accessories.,"Apparel – Children’s, Infants’ Wear Baby Clothing Clothing – Children’s, Infants’ Wear Stores Infants’ Clothing",5651 – Family Clothing Stores 5699 – Miscellaneous Apparel and Accessory Shops
